cleaned,classes
আমি বাঁচি আশ্চর্যজনক জীবন Lol    ইয়েল ঠিক জানি না তবে বিশ্বাস করুন শীঘ্রই ইয়েল শিখবে   ,surprise
আমি খুব দু  খিত বোধ করি কারণ আমি এই প্রচারের পক্ষে এবং সিনেটরকে সমর্থন করি,fear
যখন তুমি কাউকে রেগে গিয়ে কিছু বলো তখন তার মনে তুমি যেন একটি পেরেক ঠুকলে পরবর্তিতে যদি তুমি তোমার কথা ফিরিয়েও নাও তখনও তার মনে ঠিক এমন একটা আচড় থেকে যায়  তাই নিজের রাগকে নিয়ন্ত্রন করতে শেখো ,anger
ভুল বুঝবেন না। কথাটা মন থেকে উপলব্ধি করতে পারলেই ভালো ,joy
রাষ্ট্র জানিয়ে দিয়েছে স্যার এয়ার এম্বুলেন্স পাওয়ার যোগ্যতা রাখেন না  আমার সদাহাস্যজ্বল স্যার তারপর অনুনয় করে রাষ্ট্রের কাছে একটি আইসিউ এম্বুলেন্স চেয়েছিলেন  রাষ্ট্র কর্নপাতই করেনি ,sadness
"কি অবস্থা মামারা, ঢাকা ভার্সিটি বইলা পার পাইয়া যাবা",anger
"আজকের এই প্রথম আলো পত্রিকাটা কিনে রাখবো  বাকি  টা সৃতির মধ্যে অনন্যতম একটা হয়ে থাকবে 

 ঈদ মোবারক  ",joy
10 বছর পরে 2023 সালে এসে আরারও সুনছি?????????? 🥰🥰  কিছু কিছু গানের কখনো মৃত্যু হয়না 🥰😌,sadness
"আপনি তো বাংলাদেশের একজন অভিনেতা । এত বাজে উচ্চারণ কেন আপনার? ""আছে "" বলতে পারেন না? ""আসে"" টা আবার কি? ",sadness
"বাসের সবগুলো পুরুষের ছবি তুলে পুলিশের কাছে  দেয়া দরকার,  তারা কি মা ছাড়া জন্ম,   বোন ছাড়া জাতি।",anger
এ ভন্ডদের ভন্ডামি দেখলে মনে হয় জুতো পিটা করি গাধারা জানেনা ঈমাম মাহদি আসার আগে পৃথিবীতে আরো বড়ো বড়ো টি ঘটনা ঘটবে ,anger
বাংলাদেশর সেনাবাহিনীর উপর আমি ভরসা করিনা।। ,anger
আমি পরের বছর এই সময়ের মধ্যে জার্মান শিখতে যাচ্ছি এবং এটি সম্পর্কে মার্ককে বলব না  আমি কেবল জার্মান কথোপকথনে এলোমেলোভাবে বিরতি করব ,surprise
আবহাওয়া আমার ভাই স্যাম এটি জানে বা না আমি আসলে তাকে আগামীকাল সিতে যাব,surprise
 you break into  ashtoncaldwell  s house when she s out of town to get your birthday cake  amp  she doesn t know  ,surprise
একটু রিপ্লাই দেন তাওহিদ ভাইয়া প্লিজজ ,joy
আমি চাইনা দের সাথে ডিউটি করি চায়নাদের এমন কিছু ব্যক্তিগত জিনিস আছে যা এত মজবুত তা তোমার কল্পনায় আসবেনা। ,surprise
"দেশের সরকার যেটা করতে পারিনি, আপনারা তা করে দেখিয়েছেন।",joy
হাহাহা নাইস বলছেন ,joy
তোমাকে পেয়ে গেলে এত সুন্দর গানটা শোনা হতনা প্রিয়। স্মৃতি রেখে গেলাম যুগ যুগ ধরে মানুষ যখন এই গান শুনতে আসবে তখন কেউ লাইক দিলে নোটিফিকেশন পেয়ে আমি আবার তোমাকে মনে করে এই গানটা শুনব প্রিয়💔🥀,joy
"এখন ২০২২ সাল,,, তাকে হারিয়েছি মাত্র ৭ দিন হলো ৩ টা বছর পাগল এর মতন ভালোবাসছি তাকে বলেছিলাম আপনাকে না পেলে কোন দিন ও বিয়ে করব না ইনসাআল্লাহ তার প্রতি আমার ভালোবাসা  সারা জিবন থাকবে 🥰",sadness
"হায় রে,,, ভার্সিটি গুলো তে এখন লেখা পড়া বাদ দিয়ে,, অন্যায় অত্যাচারের আখড়া হয়ে গেছে",anger
সরকার নিজের অপরাধের মাত্রা যখনই নিয়ন্ত্রণে বাইরে চলে যায় তখন নতুন নাটকের জন্ম দিেয় নিজেদের অপরাধ ঢাকার চেষ্টা করে!,surprise
 জি  sa সন্তের কাছ থেকে সেই প্লেবয় পেয়েছে  ,surprise
তোহিদ চাপা টা কম মারো ,sadness
"চেহারা দেখেই তো বোঝা যায় থার্ডক্লাশ, যারা এদের প্রলোভনে পা দেয় তারা আরও বেশি খারাপ।",disgust
ইসলাম অন্য কোন ধর্মকে আঘাত করতে শিখাই নাই এবং অন্য ধর্মের মানুষ কেউবরং তাদেরকে ভালোবেসে মহব্বত করে কাছে ডাকতে শিখাইছে।,sadness
"আপনি একটা গুরুত্বপূর্ণ পদে আছেন, আপনার কথা বার্তা আরেকটু বিবেচনা প্রসূত হওয়া দরকার, দয়াকরে আর লোক হাসাবেন না।",disgust
ভাই গালি গালাজ করেন কেন ,sadness
কত অনুষ্ঠান এ লো গে লো ইত্যা দি র য়ে গেল       আমার খুব অবাক লাগে ,joy
"সাইফুদ্দিন,আফিফ আগামী দিনের ভবিষ্যৎ 🇧🇩🇧🇩 ",joy
এই ভাস্কর্য সরানোর সুদূরপ্রসারী ফল মঙ্গলকর হবে না।,anger
নানি হাসিনা বাংলাদেশের সেরা অভিনেত্রী তোমার পতন হবে ইনশাআল্লাহ খুনি হাসিনার বিচার একদিন বাংলাদেশের মাটিতে হবে ইনশাআল্লাহ কত শিশু কোরানের হাজদের মারছো,anger
"সাম্মি আপুর  কাছে একটি প্রশ্ন, কিছু মনে নিবেন না আপু। ট্রাসজ্যানডার সম্পর্কে  তেমন  ধারনা নেই।  তবে দুটো গল্প থেকে অনেক কিছু  জানলাম। আপনাদের  সাথে অমানবিক আচরন করার জন্য খুব কস্ট লাগে ।  তবে আপনি  বলছেন আপনার শরীরটা পুরুষ,  মনটা নারীর। তাহলে নিজেকে  কেন আপনি হিজরা মনে করেন?  নাকি শুধু আচরন চেঞ্জ দেখে নাকি  কোন লিঙ্গেরই  অধিকারি না, নাকি আচরন চেঞ্জের সাথে লিঙ্গ চেঞ্জ  হয়ে যায়? প্লিজ  মনে কস্ট নিবেন না।",surprise
ভারতের গল্পটাও অন্যান্য দেশের মতো টানা কয়েক বছরের দ্রুত প্রবৃদ্ধির পর দেশটির অর্থনীতি গতি হারিয়েছে সে জন্য অর্থনীতিবিদদের শঙ্কা ভারতের অবস্থাও মেক্সিকো ও ব্রাজিলের মতো হতে যাচ্ছে কি না,fear
"অনেকে বলছে বিএনপির ভিশনে নতুন কিছু নেই, ধরে নিলাম বিএনপি ভিশনে সব কিছুই পুরোন, কিন্তু প্রধানমন্ত্রীর ‘একক ক্ষমতায়’ ভারসাম্য আনা এটি একেবারেই নতুন, যা অন্য দলের ভিশনে নেই বা ছিল না এবং এটি বাংলাদেশের রাজনৈতিক প্রেক্ষিতে অতীব প্রয়োজন।",sadness
এক হাতে  তালি বাজে না দুজনে সমান অপরাধী অতেব দুইজনকে শাস্থির আওতায় নেয়া হউক এবং ঐ ছেলেকে বয়কোট করলাম। ইউটিউব থেকে,disgust
তারপর হঠাৎ করেই আলেকজান্ডার তার বুকেফ্যালাসের পিঠে করে কম্প্যানিয়নদেরকে সাথে নিয়ে ঝটিকা আক্রমণে পার্সিয়ানদের রক্ষণব্যূহ ভেদ করে অনেকখানি ভেতরে ঢুকে পড়লেন। এদিকে আলেকজান্ডারের এই আকস্মিক আক্রমণে খেই হারিয়ে ফেলে দারিউস যুদ্ধক্ষেত্র থেকেই পালিয়ে গেলেন।,surprise
"বসতির ছেলেপেলের থেকে শুধু ভোটটাই আশা করেন ম্যাডাম, রাজনীতিতে নেতা বা করমী হওয়া নয় ।",sadness
