Unnamed: 0,cleaned,classes
0.0,দুই বছরের ব্যবধানে বগুড়া থেকে বিদেশে পণ্য রপ্তানি সাত গুণ বেড়েছে গত বছর বগুড়া থেকে ভারত ও নেপালে পণ্য রপ্তানি করে আয় হয়েছে ৭ কোটি ২৩ লাখ ৩০ হাজার ৬৩২ মার্কিন ডলার বাংলাদেশি মুদ্রায় রপ্তানি আয়ের পরিমাণ ৬০৭ কোটি ৫৭ লাখ ৭৩ হাজার ৮৮ টাকা,joy
1.0,আওয়ামী লীগ সরকার বাংলাদেশকে অন্ধকার কুয়া থেকে টেনে আলোর পথে এনেছে বলে মন্তব্য করেছেন পরিকল্পনামন্ত্রী এম এ মান্নান তিনি বলেছেন মাথা নুয়ে থাকার দিন শেষ শেখ হাসিনার নেতৃত্বে বাংলাদেশ এখন বিশ্বে মর্যাদার আসনে রয়েছে,joy
2.0,চোখ কচলাতে কচলাতে বেশ রাগান্বীত কন্ঠ বলল ধুরো মরা ঘুমাইয়াও শান্তি নাই এত রাইতে মরতে কই যাইবেন,disgust
3.0,মেয়েটা অতিরিক্ত আত্মপরিচয় সংকটে ভুগে সাবিলা স্যাবলাই রয়ে গেলো বিউটি উইথআউট ব্রেইন,disgust
4.0,এবার উন্নয়ন মুলক কাজের কিছু দৃশ্যমান পরিদশন করবেন বাংলাদেশ স্কাউটের ছেলে মেয়েরা বঙ্গবন্ধু শেখ মুজিবুর রহমান শিল্প নগর মিরসরাই চটগ্রামআয়োজনে বেজা অথরিটি মাচ মাসে এটা নিজের চোখে না দেখলে কখনো বিস্বাস করা যাবে না বর্তমান সরকার কি করতে চলেছে এককথায় অসাধারন একটি পরিকল্পনা ধন্যবাদ,joy
5.0,আওয়ামী লীগ সরকারের টানা ১০ বছর অর্থমন্ত্রীর দায়িত্ব পালন করেছেন আবুল মাল আবদুল মুহিত জাতীয় সংসদে ১২টি বাজেট উপস্থাপন করেছেন তিনি শেয়ারবাজার বেসিক ব্যাংক একাধিক আর্থিক কেলেঙ্কারিসহ নানা বিষয়ে সমালোচনাও ছিল তাঁর আমলে,disgust
6.0,স্কুইল নামক এক ঔষধি গাছের বিভিন্ন উপাদানের সাথে লাইসার্জিক এসিড মিশিয়ে তিনি দুর্ঘটনাবশত এই মাদকটি আবিষ্কার করেছিলেন,surprise
7.0,ভেবে খুব খারাপ লাগছে  বাংলাদেশের মেধাবী মানুষগুলো আমেরিকায় গেল একটা ভাল লাইফ লিড করার জন্য আর এখন কি আতঙ্কের মধ্যে তারা  😢,sadness
8.0,তারপর হঠাৎ করেই আলেকজান্ডার তার বুকেফ্যালাসের পিঠে করে কম্প্যানিয়নদেরকে সাথে নিয়ে ঝটিকা আক্রমণে পার্সিয়ানদের রক্ষণব্যূহ ভেদ করে অনেকখানি ভেতরে ঢুকে পড়লেন এদিকে আলেকজান্ডারের এই আকস্মিক আক্রমণে খেই হারিয়ে ফেলে দারিউস যুদ্ধক্ষেত্র থেকেই পালিয়ে গেলেন,surprise
9.0,তো এই অবস্থায় আমি এসব সংবাদ আমি একদম নিতে পারিনা আমার সচেতন বা অবচেতন মনে এমন একটা ভয় ঢুকে যায় যে আমি খোলা চোখে অদ্ভুত সব ঘটনা চিন্তা করতে থাকি আর প্যানিক করি৷ যে কারণে আমি এখন আর সাইকো থ্রিলার মুভি দেখিনা অসম্ভব চাপ হয়,fear
10.0,যখন কেউ পজেটিভ রিভিউ দিয়ে পোস্ট করেসেখানে খারাপ ভাষা বা গালি দেয়ার অধিকার কে কাকে দেয়,disgust
11.0,বিংশ শতাব্দীর এই আলোতে এসেও অন্ধকারে জন্ম নেয়া আমাদের মগজ ঠুকরে খাচ্ছে ধর্ম নামের আফিম মাদ্রাসার অন্ধকারে নুসরাতরা আজ পুড়ে মরছে তনুরা হত্যা হচ্ছে,sadness
12.0,ভদ্র মানুষ দেখেছেনতাহসানকে দেখেন তাহলে বুঝবেন মানুষ এতো ভালো হয় কিভাবেlove you tahsan❤,joy
13.0,আপনি  কমেডি  করেন  সব  কিছু   ভালো  লাগে  আপনার  ফেস  এর  এক্সপ্রেশন  গুলো  একটু  কমেডি  কইরেন  তাইলে  খুব  ভাল  লাগতো ,joy
