cleaned,classes
আমি ভালো আছি ,happy
আমি খুব খারাপ আছি ,sad
এটা আমাকে খুব রাগিয়ে দেয় ,angry
আজকে আমার মন ভালো নেই ,sad
তুমি দারুণ কাজ করেছ ,happy
তুমি কেন এমন করলে? ,angry
এই খাবারটি বেশ ভালো ,happy
বৃষ্টির জন্য মন খারাপ ,sad
সে আমাকে খুব বিরক্ত করে ,angry
আজকের দিনটা বেশ ভালো কাটলো ,happy
কাজের চাপ খুব বেশি ,sad
তুমি কি রেগে আছো? ,angry
এটা সত্যিই মজার ,happy
আমি সত্যিই হতাশ ,sad
তুমি খুব রাগ করেছ ,angry
আজকের দিনটা দারুণ ,happy
আজ আমি খুব একা বোধ করছি ,sad
তুমি আমার উপর রেগে আছো? ,angry
বৃষ্টি আজ মন খারাপ করে দিলো ,sad
তুমি কি আমাকে রাগাও? ,angry
আজকে আমার মন ভালো নেই ,sad
এই কাজটা দারুণ হয়েছে ,happy
তুমি আমাকে রাগিয়ে দিচ্ছ ,angry
আমি তোমার উপর খুব রাগান্বিত ,angry
আজকের দিনটা খুব ভালো ছিল ,happy
আমি খুব হতাশ ,sad
তুমি দারুণ ,happy
তুমি খুব খারাপ ,sad
এই কাজটা একদম ভালো হয়নি ,angry
তুমি কেন রাগ করছো? ,angry
তুমি আমাকে হাসালে ,happy
আমার মনে হচ্ছে তুমি রেগে আছো ,angry
আজকের রাতের খাবার দারুণ ছিল ,happy
তুমি কি আমাকে একা ছেড়ে যেতে পারো ,sad
এটা আমাকে সত্যিই বিরক্ত করে ,angry
আমি ভালো আছি ,happy
আমি খুব খারাপ আছি ,sad
এটা আমাকে খুব রাগিয়ে দেয় ,angry
এটি খুব আনন্দদায়ক ছিল ,happy
মনে হচ্ছে আমি একেবারেই ভালো নেই ,sad
আজকে সবকিছুই বিরক্তিকর ,angry
আমি আজ অনেক ভালো অনুভব করছি ,happy
এই দিনটা আমার জন্য দুঃখের ,sad
তোমার কথা শুনে আমি খুব রেগে গেছি ,angry
আমি আনন্দিত যে তুমি আসতে পেরেছ ,happy
আমার মনে হচ্ছে আমি একেবারেই খারাপ অবস্থায় আছি ,sad
এটা সত্যিই আমাকে বিরক্ত করেছে ,angry
এমন একটি সুন্দর দিন ,happy
আজকের দিনটা আমার জন্য খুবই দুঃখজনক ,sad
তোমার আচরণ আমাকে ক্ষিপ্ত করেছে ,angry
তোমার সাথে কাটানো সময়টি খুব মজাদার ছিল ,happy
আমার মনে হচ্ছে আজকে আমি একেবারে অবসন্ন ,sad
আমার জন্য আজকের দিনটা ভীষণ অসহনীয় ,angry
এটি সত্যিই আমাকে আনন্দিত করেছে ,happy
এই পরিস্থিতি আমার জন্য খুবই কষ্টকর ,sad
তোমার এই কথাগুলি আমাকে বিরক্ত করেছে ,angry
আজকে আমি খুবই ভালো আছি ,happy
মনে হচ্ছে আমার মন খুবই খারাপ ,sad
তোমার এই আচরণ আমার জন্য খুবই রাগান্বিত ,angry
আজকের দিনটি আমার জন্য সত্যিই আনন্দদায়ক ,happy
আমি খুব দুঃখিত যে আমি আজকে সঠিকভাবে কাজ করতে পারছি না ,sad
তোমার কথা শুনে আমার খুব রাগ হয়েছে ,angry
এটি সত্যিই আমার জন্য সুখকর ছিল ,happy
আমার মন আজকে খুবই ভারাক্রান্ত ,sad
তোমার আচরণ আমাকে সত্যিই বিরক্ত করেছে ,angry
এটা সত্যিই আমাকে আনন্দিত করেছে ,happy
আমার মন আজকে খুবই ভারাক্রান্ত ,sad
এই ঘটনাটি আমাকে সত্যিই রেগে দিয়েছে ,angry
আজকের দিনটি খুবই আনন্দময় ,happy
আজকের দিনটি খুবই দুঃখজনক ,sad
তোমার কথাগুলি আমাকে খুবই বিরক্ত করেছে ,angry
আমি খুবই ভালো অনুভব করছি আজ ,happy
আজকের দিনটি আমার জন্য একেবারেই কষ্টকর ,sad
তোমার এই আচরণ আমাকে সত্যিই বিরক্ত করেছে ,angry
আজকের দিনটি আমার জন্য খুবই সুখকর ,happy
আজকের দিনটি আমার জন্য খুবই দুঃখজনক ,sad
তোমার আচরণ আমাকে সত্যিই রাগিয়ে দিয়েছে ,angry
আমার দিনটি খুবই সুন্দর ,happy
আমার মন আজকে খুবই খারাপ ,sad
আজকের এই ঘটনায় আমি খুবই রেগে গেছি ,angry
আজকের দিনটি অনেক আনন্দময় ,happy
আজকের দিনটি খুবই কষ্টদায়ক ,sad
এটি সত্যিই আমাকে বিরক্ত করেছে ,angry
এটি আমার জন্য সত্যিই সুখকর ছিল ,happy
আজকে আমি অনেক দুঃখিত ,sad
আজকের এই ঘটনার কারণে আমি খুবই রেগে গেছি ,angry
আজকের দিনটি আমার জন্য আনন্দের ,happy
আজকের দিনটি আমার জন্য খুবই কষ্টকর ,sad
তোমার আচরণ আমাকে সত্যিই বিরক্ত করেছে ,angry
আমি খুবই ভালো আছি আজ ,happy
আজকের দিনটি আমার জন্য দুঃখজনক ,sad
আজকের ঘটনায় আমি সত্যিই রেগে গেছি ,angry
আজকের দিনটি আমার জন্য অনেক সুখকর ,happy
আজকের দিনটি আমার জন্য খুবই দুঃখজনক ,sad
আজকের এই আচরণ আমাকে বিরক্ত করেছে ,angry
আজকের দিনটি আমার জন্য আনন্দের ,happy
আজকের দিনটি আমার জন্য একেবারে কষ্টকর ,sad
তোমার আচরণ আমাকে সত্যিই বিরক্ত করেছে ,angry
আজকে আমি খুবই ভালো আছি।,happy
এই খবরটি আমার দিনটা ভালো করে দিয়েছে।,happy
সবকিছু ঠিকঠাক চলছে।,happy
ফলাফল দেখে আমি খুবই আনন্দিত।,happy
আজকের দিনটি বেশ আনন্দময় ছিল।,happy
এই অর্জন আমাকে খুবই সুখী করেছে।,happy
প্রকল্পের সফলতা আমাকে খুশি করেছে।,happy
ভবিষ্যতের সুযোগগুলো নিয়ে আমি উচ্ছ্বসিত।,happy
এটি একটি সত্যিই দারুণ অভিজ্ঞতা।,happy
"যেভাবে সবকিছু ঘটেছে, তাতে আমি খুবই খুশি।",happy
আজ আমি খুবই উত্তেজিত অনুভব করছি।,happy
"সবকিছু যেমন পরিকল্পনা করা হয়েছিল, তেমনই চলছে।",happy
অগ্রগতির জন্য আমি খুবই সন্তুষ্ট।,happy
ইতিবাচক প্রতিক্রিয়া আমাকে খুবই আনন্দিত করেছে।,happy
এই মুহূর্তটি আমি পুরোপুরি উপভোগ করছি।,happy
