text,label
ভোলা জেলায় মৎস্যচাষ প্রশিক্ষণ শেষে অংশগ্রহণকারীদের সনদ দেওয়া হয়েছে বলে জানিয়েছে ভোক্তা অধিকার অধিদপ্তর।,0
পটুয়াখালী এলাকায় সূর্য পশ্চিম দিক থেকে উঠেছে বলে একটি ছবি নতুন দাবি দিয়ে ছড়ানো হয়েছে।,1
কুমিল্লা এলাকার ক্ষতিগ্রস্ত পরিবারের মধ্যে শুকনো খাবার ও বিশুদ্ধ পানি বিতরণ করেছে স্থানীয় প্রশাসন।,0
"শিক্ষা অফিস জানিয়েছে, মাদারীপুর এলাকায় মঙ্গলবার একটি শিশু কর্নার চালু করা হবে। প্রয়োজনীয় প্রস্তুতি প্রায় শেষ। এ বিষয়ে আরও তথ্য জানতে চেষ্টা করছেন অনেকে।",0
যুব উন্নয়ন অধিদপ্তর হবিগঞ্জ জেলার ক্ষুদ্র ব্যবসায়ীদের নিয়ে আর্থিক সচেতনতা সভা করেছে। সামাজিক যোগাযোগমাধ্যমে এটি নিয়ে আলোচনা দেখা গেছে।,0
হবিগঞ্জ শহরে চলতি মাসে অগ্নিনিরাপত্তা মহড়া পরিচালনা করেছে ফায়ার সার্ভিস। বিভিন্ন প্রতিষ্ঠানের কর্মীরা এতে অংশ নেন।,0
কুষ্টিয়া জেলায় একটি বিশেষ গাছের ফল খেলে মানুষ একশ বছর বাঁচে বলে ভিডিও ছড়িয়েছে। এ বিষয়ে আরও তথ্য জানতে চেষ্টা করছেন অনেকে।,1
সকালে সিলেট জেলায় একটি স্বেচ্ছাসেবী সংগঠন বর্জ্য পুনর্ব্যবহার কর্মসূচি পরিচালনা করেছে। স্থানীয় প্রশাসন কর্মসূচিতে সহায়তা করে।,0
"একটি অনলাইন বার্তায় বলা হয়েছে, একটি গোপন অনলাইন লিংক হাতে রাখলে কোনো ক্যামেরায় মানুষের ছবি উঠবে না। সামাজিক যোগাযোগমাধ্যমে এটি নিয়ে আলোচনা দেখা গেছে।",1
একটি অজানা মোবাইল অ্যাপ ঘরে রাখলে ভূমিকম্পের সাত দিন আগে শতভাগ নির্ভুল সংকেত পাওয়া যায় বলে দাবি করা হয়েছে। এ বিষয়ে আরও তথ্য জানতে চেষ্টা করছেন অনেকে।,1
ব্রাহ্মণবাড়িয়া জেলার হাসপাতালে নতুন দুটি সেবা কাউন্টার চালু করা হয়েছে। রোগীদের অপেক্ষার সময় কমানোই এর লক্ষ্য।,0
"ফায়ার সার্ভিস জানিয়েছে, ঢাকা এলাকার একটি বাজারে খাদ্যের মান পরীক্ষা করা হয়েছে।",0
কুমিল্লা এলাকায় আকাশ থেকে স্বর্ণের মুদ্রা পড়ছে বলে সামাজিক যোগাযোগমাধ্যমে প্রচার করা হয়েছে।,1
ভোক্তা অধিকার অধিদপ্তর বগুড়া জেলার ১৮টি বিদ্যালয়ে পরিচ্ছন্নতা কার্যক্রম চালিয়েছে। খবরটি প্রকাশের পর অনলাইনে নানা প্রতিক্রিয়া দেখা গেছে।,0
চট্টগ্রাম শহরে বিকেলে অগ্নিনিরাপত্তা মহড়া পরিচালনা করেছে ফায়ার সার্ভিস। বিভিন্ন প্রতিষ্ঠানের কর্মীরা এতে অংশ নেন। বিষয়টি নিয়ে স্থানীয়দের মধ্যে আলোচনা চলছে।,0
সকালে দেশের সব এটিএম বুথ থেকে কার্ড ছাড়াই টাকা তোলা যাবে বলে একটি বার্তা ছড়িয়েছে।,1
"একটি ওয়েবসাইট জানিয়েছে, শুধু জাতীয় পরিচয়পত্রের নম্বর লিখলেই প্রত্যেকে ৬০০ হাজার টাকা পাবেন।",1
ফেনী এলাকায় একটি গোপন সুড়ঙ্গ পাওয়া গেছে যা সরাসরি অন্য দেশে চলে গেছে বলে ছবি ছড়িয়েছে।,1
"একটি ভিডিওতে দাবি করা হয়েছে, একটি গোপন ইলেকট্রনিক চিপ মাত্র দশ মিনিটে সব ঋণ পরিশোধের টাকা তৈরি করে। ভিডিওটি দ্রুত ছড়িয়ে পড়েছে। খবরটি প্রকাশের পর অনলাইনে নানা প্রতিক্রিয়া দেখা গেছে।",1
"যুব উন্নয়ন অধিদপ্তর জানিয়েছে, সিলেট এলাকায় বায়ুর মান পর্যবেক্ষণের জন্য নতুন যন্ত্র বসানো হয়েছে।",0
একটি অচেনা স্প্রে পানিতে ফেললে দূষিত পানি কয়েক সেকেন্ডে সম্পূর্ণ বিশুদ্ধ হয়ে যায় বলে দাবি করা হয়েছে।,1
সিলেট জেলার উত্তর উপজেলা এলাকায় কৃষকদের মাঝে উন্নত মানের বীজ বিতরণ করেছে মৎস্য অফিস।,0
একটি বিশেষ তাবিজ মোবাইলের পাশে রাখলে নেটওয়ার্ক গতি একশ গুণ বেড়ে যায় বলে বিজ্ঞাপন দেওয়া হচ্ছে। এ বিষয়ে আরও তথ্য জানতে চেষ্টা করছেন অনেকে।,1
লক্ষ্মীপুর জেলার একটি সরকারি বিদ্যালয়ে ডিজিটাল ল্যাব উদ্বোধন করা হয়েছে। শিক্ষার্থীরা নিয়মিত এটি ব্যবহার করতে পারবে। বিষয়টি নিয়ে স্থানীয়দের মধ্যে আলোচনা চলছে।,0
শরীয়তপুর অঞ্চলের প্রতিটি বাড়ির ছাদে মূল্যবান ধাতু পাওয়া গেছে বলে একটি ভিডিও প্রকাশ করা হয়েছে।,1
দুপুরে দেশের সব এটিএম বুথ থেকে কার্ড ছাড়াই টাকা তোলা যাবে বলে একটি বার্তা ছড়িয়েছে।,1
খুলনা এলাকায় ক্ষতিগ্রস্ত একটি সড়কের সংস্কারকাজ সকালে শুরু করেছে সড়ক বিভাগ। কাজ চলাকালে বিকল্প পথ ব্যবহারের অনুরোধ করা হয়েছে।,0
