cleaned,classes
মেডিকেলে এসে ঠিক ফ্যামিলির ফটো ফ্রেম এর মতো মনে হতো নিজেকেখাপছাড়া লাগতোদম বন্ধ হয়ে আসতোঅন্যদের সামনে অপমানিত হতে হতো পদে পদে,sadness
অনেক দিন পর অন্য রকম অনুভূতি হচ্ছে  কেননা আমার সদ্য পাশ করা শিক্ষার্থীর মত এখন আমিও বেকার বেকার পরিচয় দিয়ে আম্মার কাছ থেকে আজ পঞ্চাশ টাকা ডাকাতি করলাম ,sadness
আগে যতোটা বেশি পছন্দ করতাম দুশ্চরিত্রা মিথিলা মুখার্জি কে এখন তেমনি সবচেয়ে বেশি ঘৃণা করি ওই পতিতা সদ্য হিন্দু হওয়া মিথিলা মুখার্জি কে,disgust
মাঝে মাঝে মনে হয় তোমাকে চাওয়াটা অনেক ভুল হয়ত ভুল তবে এই ভুলের মাশুল এইভাবেই কি দিতে হতো জানি না তবে যা জানি তা মানি না,sadness
এখানে কাওকে কবর দিয়ো না তাহলে তোমাদের পরিবারের আর কেউ বেঁচে থাকবে না ও তোমাদের কাউকে বাঁচতে দিবে না  চলে যাও এখান থেকে নিজে থেকে অভিশাপকে আহ্বান করো না,fear
কান্নার জল সবাই দেখে হৃদয়ের কষ্ট কেউ দেখেনা পাওয়ার আনন্দ কিছু দিন থাকেকিন্তু না পাওয়ার বেদনা সারাজীবন এ ও ভুলা যায়না,sadness
নির্বাচনের সময় কস্ট করে ভোট চাইসে এর চেয়ে বেশি এইসব প্রতিবন্ধী থেকে আর কি আশা করা যায়,disgust
দাদা আপনার video গুলো ভালো লাগে ডকুমেন্টারি টাইপের ভিডিও বানানো শুরু করেছি সবেমাত্রআপনারা সাপোর্ট করলে মোটিভেশন পাই একজন ছোট youtuber হতে চাই আমাকে সাপোর্ট করুন আমার ভিডিও গুলো দেখে আসুন ভালো লাগলে পাশে থাকবেন আশা করি,joy
বাস্তবতা এটাই কেউ সারাজীবন সুখ চেয়েও পায় নাআর কেউ পেয়ে চায় নাহহায়রে আজব পৃথিবী,sadness
কিন্ত ভয় কিসের থেকে আমি জানতামনা কিন্ত আমার মনে হয় এটা তার নানুর কুকুরের জন্য সেটা অনেক খারাপ কুকুর ছিল ,fear
